Aggregate with Dmax= 1026.64 and aeff= 211.234
4935  = NAT
1.000	0.000	0.000	= target vector a1 (in TF)
0.000	1.000	0.000	= target vector a1 (in TF)
1.	1.	1.	= d_x/d d_y/d d_z/d (normally 1 1 1)
J	JX	JY	JZ	ICMPX	ICMPY	ICMPZ
559   9   1   1   1   1   1
560  10  -1   4   1   1   1
561   9  -0   3   1   1   1
562   9  -0   2   1   1   1
563   9  -0   1   1   1   1
564  10  -2   4   1   1   1
565   9  -2   3   1   1   1
566   9  -1   3   1   1   1
567   9  -1   2   1   1   1
568   8  -1   1   1   1   1
569  11  -0   4   1   1   1
570  11  -0   3   1   1   1
571  11   0   2   1   1   1
572  10   0   1   1   1   1
573  10   1   0   1   1   1
574  11  -1   4   1   1   1
575  11  -1   3   1   1   1
576  10  -1   2   1   1   1
577  10  -1   1   1   1   1
578  10  -0   0   1   1   1
579  10  -2   3   1   1   1
580  10  -2   2   1   1   1
581   9  -1   0   1   1   1
582  12  -1   4   1   1   1
583  12  -0   3   1   1   1
584  12  -0   2   1   1   1
585  11   0   1   1   1   1
586  11  -1   2   1   1   1
587  11  -1   1   1   1   1
588  11  -1   0   1   1   1
589  11  -2   4   1   1   1
590  11  -2   3   1   1   1
591  11  -2   2   1   1   1
592  10  -2   1   1   1   1
593  10  -2  -0   1   1   1
594  -0   3  -3   1   1   1
595  -8   7   0   1   1   1
596  -7   7  -0   1   1   1
597  -6   7  -1   1   1   1
598   2  -5   1   1   1   1
599   3  -4   3   1   1   1
600  -7  -5   4   1   1   1
601   3   1   5   1   1   1
602   3   2  -7   1   1   1
603   3   2  -8   1   1   1
604   3   2  -6   1   1   1
605   4   2  -7   1   1   1
606   4   2  -5   1   1   1
607   4   2  -6   1   1   1
608   5   3  -7   1   1   1
609  -0  -6  -8   1   1   1
610  -3   0  -7   1   1   1
611   3   5  -5   1   1   1
612   3   4  -6   1   1   1
613   2   4  -6   1   1   1
614   2   6  -5   1   1   1
615   2   5  -6   1   1   1
616   1   6  -5   1   1   1
617   1   5  -5   1   1   1
618   0   5  -6   1   1   1
619   3  -5  -8   1   1   1
620   3  -5  -9   1   1   1
621   9  -3  -3   1   1   1
622   5  -5  -2   1   1   1
623   6  -6  -1   1   1   1
624   7  -6  -1   1   1   1
625  -2  -5  -2   1   1   1
626  -3  -5  -2   1   1   1
627  -4  -6  -1   1   1   1
628  -2  -6  -1   1   1   1
629   5  -4  -6   1   1   1
630   4   1  -5   1   1   1
631   2   7  -5   1   1   1
632   2   5  -5   1   1   1
633  -1  -2   4   1   1   1
634   6  -6  -5   1   1   1
635  -3  -0   4   1   1   1
636  -3  -1   4   1   1   1
637   8  -0   1   1   1   1
638   0  -7  -7   1   1   1
639   1  -6  -6   1   1   1
640   0  -6  -7   1   1   1
641   0  -5  -7   1   1   1
642   1  -6  -5   1   1   1
643   1  -5  -6   1   1   1
644   1  -4  -6   1   1   1
645  -5   4  -2   1   1   1
646  -3  -4  -1   1   1   1
647  -2  -7  -8   1   1   1
648  -2  -8  -7   1   1   1
649  -1  -5   1   1   1   1
650  -5  -2  -6   1   1   1
651  -1  -7  -7   1   1   1
652  -7   6  -3   1   1   1
653   2  -6  -1   1   1   1
654   3  -5   2   1   1   1
655   2  -6   1   1   1   1
656   1  -6   0   1   1   1
657   3  -6   1   1   1   1
658   2  -7   0   1   1   1
659   4  -7   1   1   1   1
660   3  -7   1   1   1   1
661   3  -7   0   1   1   1
662   4   1  -6   1   1   1
663  -9   1  -3   1   1   1
664  -4  -3  -8   1   1   1
665  -5  -3  -9   1   1   1
666   3  -4  -3   1   1   1
667   3   6  -3   1   1   1
668   2   5  -2   1   1   1
669   2   5  -1   1   1   1
670  -6   2  -3   1   1   1
671  -1  -1  -7   1   1   1
672  -5  -1  -7   1   1   1
673  -5  -0  -7   1   1   1
674  -5   1  -7   1   1   1
